name,steps,nbTransactions,nbClients,totalError
PS_20211015113932_73717073,10000,47141,170,0.752413174234816
PS_20211015113937_73722308,10000,67226,299,0.7432473909872898
PS_20211015113939_73724199,10000,54247,297,0.7468416551380788
PS_20211015113940_73725442,10000,57963,343,0.7441857125203686
PS_20211015113941_73726617,10000,58999,353,0.7430305117558786
PS_20211015113943_73727682,10000,51574,258,0.748238688481466
PS_20211015113944_73729172,10000,53636,339,0.7460751354493393
PS_20211015113945_73730143,10000,53056,356,0.7445826892219322
PS_20211015113946_73731081,10000,60341,500,0.7434255564565202
PS_20211015113947_73731991,10000,46998,317,0.7481047822084717
PS_20211015113948_73733025,10000,51280,114,0.7452356644838644
PS_20211015113949_73734171,10000,37554,279,0.7541397789055044
PS_20211015113950_73735067,10000,42745,230,0.7503203223626943
PS_20211015113951_73735854,10000,53282,375,0.747304776769147
PS_20211015113952_73736724,10000,62908,279,0.7382118506897599
PS_20211015113953_73737689,10000,49906,256,0.749222818341539
PS_20211015113953_73738609,10000,53298,121,0.7464105878154013
PS_20211015113954_73739513,10000,61962,597,0.7417967306760404
PS_20211015113955_73740461,10000,52292,150,0.749613725550904
PS_20211015113956_73741366,10000,56465,181,0.747259661371307
PS_20211015113957_73742443,10000,58561,270,0.7440334021564994
PS_20211015113958_73743405,10000,50942,460,0.7451640690857575
PS_20211015113959_73744398,10000,47627,290,0.7449749760852048
PS_20211015114000_73745329,10000,64462,289,0.7421005505336525
PS_20211015114001_73746348,10000,44367,181,0.7475276075280826
PS_20211015114002_73747340,10000,40617,353,0.7405547272994446
PS_20211015114003_73748248,10000,54341,394,0.7447858721198609
PS_20211015114004_73749113,10000,58314,552,0.7453143844219093
PS_20211015114005_73750038,10000,52170,416,0.7447421308831569
PS_20211015114006_73750904,10000,49704,222,0.7439654745089084
PS_20211015114007_73751826,10000,43335,348,0.7490987692287759
PS_20211015114008_73752717,10000,62274,475,0.7438347379669201
PS_20211015114009_73753759,10000,55621,426,0.7449259681290721
PS_20211015114010_73754742,10000,42134,377,0.751973582294851
PS_20211015114011_73755851,10000,62504,170,0.7437122174762391
PS_20211015114013_73758382,10000,52978,230,0.7444649364131115
PS_20211015114015_73760247,10000,53057,287,0.7491709566257492
PS_20211015114017_73762253,10000,55138,234,0.7445560046107499
PS_20211015114019_73764187,10000,46204,443,0.7482918887268649
PS_20211015114020_73765541,10000,48426,191,0.745637424040272
PS_20211015114022_73766954,10000,53089,476,0.7445171213255086
PS_20211015114023_73768045,10000,41568,193,0.7488817892894318
PS_20211015114024_73769216,10000,42378,382,0.7464871438672107
PS_20211015114025_73770614,10000,48726,178,0.746363269266948
PS_20211015114027_73771846,10000,51615,198,0.7354850589755448
PS_20211015114028_73772738,10000,53909,214,0.7414266417201252
PS_20211015114029_73773719,10000,46485,560,0.7516460143263376
PS_20211015114029_73774607,10000,59232,208,0.7456778291369869
PS_20211015114030_73775517,10000,45735,112,0.7445676066167837
PS_20211015114031_73776425,10000,53748,234,0.7425238047841914
PS_20211015114032_73777399,10000,72498,192,0.7422202711645645
PS_20211015114033_73778405,10000,51716,234,0.7471038755114314
PS_20211015114034_73779442,10000,47448,169,0.7447906208697175
PS_20211015114035_73780570,10000,58438,554,0.7462052013343081
PS_20211015114037_73781724,10000,40210,248,0.7530341790037793
PS_20211015114038_73782770,10000,53035,307,0.7461025072261941
PS_20211015114039_73783901,10000,48167,117,0.7448459418569484
PS_20211015114040_73784811,10000,49989,328,0.744630376515761
PS_20211015114041_73785682,10000,60667,190,0.7404404423208256
PS_20211015114041_73786583,10000,44957,195,0.7447061298690913
PS_20211015114042_73787622,10000,67406,286,0.7435306051325535
PS_20211015114043_73788544,10000,48664,360,0.7467200424444211
PS_20211015114044_73789456,10000,52684,349,0.7482112339715331
PS_20211015114045_73790447,10000,72439,865,0.741704536061808
PS_20211015114047_73791638,10000,44325,208,0.7475430897269734
PS_20211015114047_73792619,10000,59926,225,0.7450546948428235
PS_20211015114049_73793707,10000,49094,258,0.7459272777802152
PS_20211015114049_73794582,10000,56317,328,0.7434880323021357
PS_20211015114051_73795649,10000,56537,254,0.744182231600339
PS_20211015114051_73796600,10000,54278,236,0.7473005113026246
PS_20211015114053_73797722,10000,45447,279,0.7431776532136388
PS_20211015114054_73798693,10000,49789,206,0.7464083824015639
PS_20211015114055_73799669,10000,41332,112,0.7482009348798073
PS_20211015114055_73800588,10000,49504,260,0.7459606121992215
PS_20211015114056_73801536,10000,48524,271,0.7494839683209935
PS_20211015114057_73802419,10000,58355,113,0.7422212085598268
PS_20211015114058_73803401,10000,43107,761,0.7481218915149661
PS_20211015114059_73804365,10000,55357,471,0.744969051299173
PS_20211015114100_73805322,10000,41690,278,0.7523752753362315
PS_20211015114101_73806174,10000,50312,296,0.7407389984542657
PS_20211015114102_73807150,10000,46054,292,0.7462812216728281
PS_20211015114103_73807930,10000,67155,268,0.743241475032167
PS_20211015114104_73808831,10000,50132,290,0.7502456060333884
PS_20211015114105_73809700,10000,55311,159,0.7426898445828635
PS_20211015114106_73810644,10000,60222,390,0.7460004072890314
PS_20211015114107_73811673,10000,57620,165,0.7410479682686145
PS_20211015114108_73812685,10000,43537,733,0.7468327094584217
PS_20211015114109_73813926,10000,54901,229,0.7460141762110203
PS_20211015114110_73814962,10000,74055,274,0.7402874509694642
PS_20211015114111_73816085,10000,44844,211,0.7511023205978418
PS_20211015114112_73817219,10000,42926,342,0.7490886657934519
PS_20211015114113_73818197,10000,62685,601,0.7478133963184618
PS_20211015114114_73819310,10000,50773,597,0.7470019958869122
PS_20211015114115_73820250,10000,47787,305,0.748216009327502
PS_20211015114116_73821166,10000,48652,317,0.7426600516699262
PS_20211015114117_73822137,10000,58009,187,0.7477128321574255
PS_20211015114118_73823150,10000,57099,393,0.7452865080215452
PS_20211015114119_73824092,10000,67215,231,0.7453266338494924
PS_20211015114120_73825145,10000,53168,326,0.7455631000494805
PS_20211015114121_73826128,10000,44121,290,0.7494993853751925
PS_20211015114122_73827045,10000,45576,361,0.7486358491118608
PS_20211015114123_73827952,10000,45618,449,0.7470526767285696
PS_20211015114124_73828837,10000,45749,291,0.747136684878662
PS_20211015114125_73829892,10000,53887,216,0.7461812116690903
PS_20211015114127_73831745,10000,71683,141,0.7412639768589363
PS_20211015114129_73834342,10000,52815,348,0.7463494142477614
PS_20211015114131_73836318,10000,51187,265,0.7486306210029383
PS_20211015114133_73838420,10000,59122,294,0.7449611298317862
PS_20211015114135_73840397,10000,70054,123,0.7450101487006456
PS_20211015114137_73842221,10000,46383,189,0.7487010054278723
PS_20211015114138_73843118,10000,53846,168,0.7446729599774526
PS_20211015114139_73844053,10000,49011,266,0.7474730482887798
PS_20211015114140_73844906,10000,62113,232,0.74463192784256
PS_20211015114141_73845896,10000,218314,453,0.6995905963344917
PS_20211015114143_73847699,10000,54581,324,0.7457768307735269
PS_20211015114144_73848648,10000,54222,299,0.7461232429498618
PS_20211015114145_73849674,10000,53119,167,0.7459450607511735
PS_20211015114145_73850623,10000,40047,300,0.7519087080995989
PS_20211015114146_73851515,10000,58318,636,0.7388162821095348
PS_20211015114147_73852575,10000,55662,526,0.7474879715601845
PS_20211015114148_73853532,10000,178855,507,0.7019753434834717
PS_20211015114150_73855077,10000,56805,138,0.7437107461957141
PS_20211015114151_73856166,10000,48506,208,0.7427171256828975
PS_20211015114152_73857112,10000,67545,491,0.7409135731432603
PS_20211015114153_73858160,10000,60134,223,0.747315647502409
PS_20211015114154_73859090,10000,44743,300,0.7500212728883631
PS_20211015114155_73859988,10000,54866,258,0.7465381842626803
PS_20211015114156_73860906,10000,58285,472,0.7474649674891277
PS_20211015114157_73861787,10000,60174,206,0.740922850254089
PS_20211015114158_73862773,10000,56241,347,0.745764991154337
PS_20211015114159_73863732,10000,44868,490,0.7472073416217705
PS_20211015114159_73864589,10000,50365,318,0.7406586936745585
PS_20211015114200_73865432,10000,44110,548,0.7500453850448842
PS_20211015114201_73866338,10000,62530,424,0.7443003164267367
PS_20211015114202_73867245,10000,53963,491,0.7500951844926329
PS_20211015114203_73868195,10000,47700,212,0.7480620761458234
PS_20211015114204_73869153,10000,59888,129,0.7433979302760367
PS_20211015114205_73870110,10000,48958,246,0.7481237701186658
PS_20211015114206_73871146,10000,40821,380,0.7492109181553547
PS_20211015114207_73872050,10000,52747,157,0.7418568006699235
PS_20211015114208_73872997,10000,60274,344,0.745166269409796
PS_20211015114209_73873926,10000,42294,172,0.7485514512561429
PS_20211015114210_73874710,10000,64433,321,0.7441255588217648
PS_20211015114211_73875723,10000,59619,224,0.7442404272091162
PS_20211015114212_73876666,10000,54868,224,0.7479493338490992
PS_20211015114212_73877612,10000,43548,205,0.746836783667471
PS_20211015114213_73878484,10000,43349,199,0.7521183496296274
PS_20211015114214_73879399,10000,39362,299,0.7539491529533645
PS_20211015114215_73880350,10000,49345,265,0.7494734588092852
PS_20211015114216_73881491,10000,50895,341,0.7462070087720822
PS_20211015114217_73882508,10000,48512,274,0.7430790471551838
PS_20211015114219_73883675,10000,51041,350,0.7483157742850192
PS_20211015114220_73884832,10000,46549,278,0.7447892597088639
PS_20211015114221_73885848,10000,53133,313,0.7486871243811004
PS_20211015114222_73886946,10000,45975,329,0.7499347956749891
PS_20211015114223_73887843,10000,42550,351,0.7512149779721704
PS_20211015114224_73888709,10000,54495,200,0.7464816655215125
PS_20211015114224_73889613,10000,57952,361,0.7462565757150051
PS_20211015114225_73890544,10000,114409,273,0.7218473307111506
PS_20211015114227_73891676,10000,65119,546,0.7393043001163245
PS_20211015114228_73892633,10000,51023,112,0.7376131449826844
PS_20211015114228_73893538,10000,48971,371,0.7486601662002704
PS_20211015114229_73894474,10000,50307,424,0.7485130682695682
PS_20211015114230_73895508,10000,44501,130,0.7487966551465665
PS_20211015114231_73896515,10000,165021,910,0.7070441595595984
PS_20211015114233_73897943,10000,48143,310,0.7443303539118259
PS_20211015114234_73898863,10000,52919,192,0.7422027708374828
PS_20211015114235_73899733,10000,47071,494,0.7480028562242683
PS_20211015114236_73900635,10000,63750,117,0.742194481292241
PS_20211015114236_73901575,10000,48461,198,0.7459462772342228
PS_20211015114237_73902488,10000,59004,229,0.7468078704970537
PS_20211015114238_73903487,10000,49023,969,0.7432690373051428
PS_20211015114239_73904359,10000,68428,310,0.7427714124942261
PS_20211015114240_73905305,10000,52876,229,0.745632343300726
PS_20211015114241_73906245,10000,53125,111,0.7442993507920053
PS_20211015114242_73907142,10000,46502,173,0.7465735451694646
PS_20211015114243_73908090,10000,45441,225,0.750939288833338
PS_20211015114244_73908948,10000,53907,408,0.7456172951182282
PS_20211015114245_73909794,10000,61057,282,0.7345035602775216
PS_20211015114246_73910717,10000,39392,138,0.7527831852163556
PS_20211015114246_73911584,10000,51467,478,0.75229535032194
PS_20211015114247_73912497,10000,58817,169,0.7429008082734316
PS_20211015114248_73913410,10000,49409,590,0.7447596375544423
PS_20211015114249_73914301,10000,55506,111,0.7481085647339645
PS_20211015114250_73915220,10000,47406,176,0.7445306885161149
PS_20211015114251_73916104,10000,52727,118,0.738694758546777
PS_20211015114252_73917052,10000,46474,320,0.7480406958832271
PS_20211015114253_73917965,10000,54354,307,0.74471721057657
PS_20211015114254_73918980,10000,49914,225,0.7521215543768309
PS_20211015114255_73919883,10000,65910,247,0.7423134312693944
PS_20211015114256_73920802,10000,49221,181,0.7507732948404935
PS_20211015114257_73921685,10000,57046,328,0.7470168285771553
PS_20211015114257_73922568,10000,66976,360,0.7435887990798823
PS_20211015114258_73923486,10000,40748,322,0.7500329981519849
PS_20211015114259_73924369,10000,47860,336,0.7498148689678528
PS_20211015114300_73925178,10000,43170,248,0.7485176232121178
PS_20211015114301_73926055,10000,45984,286,0.7516198258976007
PS_20211015114302_73926939,10000,51378,226,0.7438592512178513
PS_20211015114303_73927817,10000,52523,188,0.7429823038845972
PS_20211015114304_73928810,10000,39760,147,0.7529214945605094
PS_20211015114305_73929725,10000,38967,336,0.7479983023280854
PS_20211015114306_73930669,10000,47870,320,0.7495267393794526
PS_20211015114306_73931502,10000,44120,516,0.7475988602650852
PS_20211015114307_73932447,10000,50881,373,0.7411295368230066
PS_20211015114308_73933299,10000,47556,189,0.7499761195512938
PS_20211015114309_73934227,10000,52399,269,0.7486020491169417
PS_20211015114310_73935181,10000,48187,159,0.7476045127949248
PS_20211015114311_73936156,10000,49375,374,0.7466624804919555
PS_20211015114312_73937068,10000,55506,228,0.7474673593574901
PS_20211015114313_73937987,10000,58405,760,0.7453269089896883
PS_20211015114314_73938852,10000,53071,250,0.7437244897938331
PS_20211015114315_73939773,10000,50848,372,0.7427885849069655
PS_20211015114315_73940622,10000,55592,183,0.7494235754051142
PS_20211015114316_73941574,10000,54222,271,0.7475238817551317
PS_20211015114317_73942475,10000,61149,660,0.7409662128776273
PS_20211015114318_73943392,10000,59178,303,0.7472177376036004
PS_20211015114319_73944383,10000,48730,453,0.7505010583250677
PS_20211015114320_73945381,10000,50142,470,0.7464254318371786
PS_20211015114321_73946390,10000,56197,306,0.7448353770055799
PS_20211015114322_73947588,10000,54778,276,0.7480409432789159
PS_20211015114323_73948485,10000,55683,367,0.7395170520485783
PS_20211015114324_73949456,10000,50887,301,0.7484685783503359
PS_20211015114325_73950364,10000,51387,118,0.7485948991736772
PS_20211015114326_73951478,10000,49472,367,0.7450457681407082
PS_20211015114327_73952392,10000,51221,541,0.7478429582451671
PS_20211015114328_73953361,10000,67001,499,0.7440059219502869
PS_20211015114329_73954314,10000,51340,365,0.7478786108563881
