AUC,B_ACC,F1,F2,Model,cenario/amostra
0.997979797979798,0.997979797979798,0.5581395348837209,0.759493670886076,LogClass,cenario4/resultado_1
1.0,1.0,1.0,1.0,RF,cenario4/resultado_1
0.999946836788942,0.999946836788942,0.9795918367346939,0.9917355371900827,MLP,cenario4/resultado_1
0.7083333333333334,0.7083333333333334,0.5882352941176471,0.4716981132075472,SVM,cenario4/resultado_1
1.0,1.0,1.0,1.0,XGB,cenario4/resultado_1
0.9981755741575445,0.9981755741575445,0.8282828282828283,0.9234234234234234,LogClass,cenario4/resultado_10
1.0,1.0,1.0,1.0,RF,cenario4/resultado_10
0.9998390212491951,0.9998390212491951,0.9820359281437125,0.99273607748184,MLP,cenario4/resultado_10
0.9024390243902439,0.9024390243902439,0.8918918918918919,0.8375634517766498,SVM,cenario4/resultado_10
0.9998390212491951,0.9998390212491951,0.9820359281437125,0.99273607748184,XGB,cenario4/resultado_10
0.9972580829429909,0.9972580829429909,0.7499999999999999,0.8823529411764706,LogClass,cenario4/resultado_100
1.0,1.0,1.0,1.0,RF,cenario4/resultado_100
0.999942876727979,0.999942876727979,0.993103448275862,0.997229916897507,MLP,cenario4/resultado_100
0.8611111111111112,0.8611111111111112,0.8387096774193548,0.7647058823529411,SVM,cenario4/resultado_100
1.0,1.0,1.0,1.0,XGB,cenario4/resultado_100
0.9558385093167702,0.9558385093167702,0.2407862407862408,0.43985637342908435,LogClass,cenario4/resultado_101
1.0,1.0,1.0,1.0,RF,cenario4/resultado_101
0.8898336291038155,0.8898336291038155,0.8618784530386739,0.8108108108108109,MLP,cenario4/resultado_101
0.6950000000000001,0.6950000000000001,0.5611510791366906,0.4441913439635536,SVM,cenario4/resultado_101
0.9999445430346052,0.9999445430346052,0.9950248756218906,0.998003992015968,XGB,cenario4/resultado_101
0.9958838580487261,0.9958838580487261,0.7848837209302325,0.9012016021361816,LogClass,cenario4/resultado_102
1.0,1.0,1.0,1.0,RF,cenario4/resultado_102
1.0,1.0,1.0,1.0,MLP,cenario4/resultado_102
