AUC,RECALL,F1,F2,TN,FN,FP,TP,MODEL,N_NEG,N_POS,AMOSTRA
0.9416514418436629,0.9542902967121091,0.711509715994021,0.8396838837143664,11883,57,908,1190,LogClass,12791,1247,resultado_1
0.9970469663507013,0.9951884522854851,0.9920063948840927,0.9939131827646964,12777,6,14,1241,RF,12791,1247,resultado_1
0.9231549511337569,0.8540497193263833,0.8834508502695977,0.8655721716514954,12692,182,99,1065,MLP,12791,1247,resultado_1
0.8159582999198076,0.6319165998396151,0.7744471744471745,0.6821329639889198,12791,459,0,788,SVM,12791,1247,resultado_1
0.9992472278241449,0.9991980753809142,0.9960031974420465,0.9979176677879226,12782,1,9,1246,XGB,12791,1247,resultado_1
0.9385356519795433,0.9550794747753973,0.7196042697214267,0.8445367880713762,11961,65,1012,1382,LogClass,12973,1447,resultado_10
0.9964262866723727,0.9944713199723566,0.9900240798073615,0.9926876379690951,12952,8,21,1439,RF,12973,1447,resultado_10
0.8990336689390132,0.8334485141672425,0.775064267352185,0.8090701730846639,12514,241,459,1206,MLP,12973,1447,resultado_10
0.7823082239115411,0.5646164478230823,0.721731448763251,0.6184708554125662,12973,630,0,817,SVM,12973,1447,resultado_10
0.9987706645629583,0.9979267449896337,0.9972375690607735,0.9976509603426835,12968,3,5,1444,XGB,12973,1447,resultado_10
0.9326835653297849,0.9322845417236663,0.7409622179940201,0.8450092994420334,11908,99,854,1363,LogClass,12762,1462,resultado_2
0.9966657276614848,0.9952120383036935,0.9894593675620538,0.9929029616486965,12738,7,24,1455,RF,12762,1462,resultado_2
0.9159168024258063,0.8488372093023255,0.85,0.8493019436079934,12545,221,217,1241,MLP,12762,1462,resultado_2
0.823187414500684,0.646374829001368,0.7852098047361862,0.6955689680553511,12762,517,0,945,SVM,12762,1462,resultado_2
0.9984255048385565,0.9979480164158687,0.9942078364565587,0.9964485725993716,12748,3,14,1459,XGB,12762,1462,resultado_2
0.9427820783488488,0.9298799747315224,0.8304654442877292,0.8873884735953701,10567,111,490,1472,LogClass,11057,1583,resultado_3
0.9973813406221971,0.9962097283638661,0.9930730478589421,0.9949526813880127,11041,6,16,1577,RF,11057,1583,resultado_3
0.8587198843459244,0.7195198989260897,0.829872495446266,0.7599412863624232,11034,444,23,1139,MLP,11057,1583,resultado_3
0.7763739734680986,0.5527479469361971,0.7119609438567942,0.6070487026502012,11057,708,0,875,SVM,11057,1583,resultado_3
0.9986906703110985,0.998104864181933,0.9965310627562283,0.9974747474747474,11049,3,8,1580,XGB,11057,1583,resultado_3
0.9492722841896972,0.9573400250941029,0.8169164882226981,0.8957501760976756,9861,68,616,1526,LogClass,10477,1594,resultado_4
0.9991136406939789,0.9993726474278545,0.9959362300718975,0.9979952386918934,10465,1,12,1593,RF,10477,1594,resultado_4
0.9350156865088599,0.8820577164366374,0.8995521433141395,0.888973191704603,10351,188,126,1406,MLP,10477,1594,resultado_4
0.7819949811794229,0.5639899623588457,0.7212194143602085,0.6178694158075603,10477,695,0,899,SVM,10477,1594,resultado_4
0.9997613820750214,1.0,0.998434074538052,0.9993730407523512,10472,0,5,1594,XGB,10477,1594,resultado_4
0.919076431891365,0.9402560455192034,0.684265010351967,0.8178668646374659,9990,84,1136,1322,LogClass,11126,1406,resultado_5
0.9971062105370553,0.9950213371266002,0.9943141435678748,0.9947383390216157,11117,7,9,1399,RF,11126,1406,resultado_5
0.8518144931879474,0.7083926031294452,0.8114052953156822,0.7462910235276486,11073,410,53,996,MLP,11126,1406,resultado_5
0.7713371266002844,0.542674253200569,0.7035500230520978,0.5973070299044935,11126,643,0,763,SVM,11126,1406,resultado_5
0.9994196823198592,0.9992887624466572,0.9978693181818181,0.9987205004265001,11121,1,5,1405,XGB,11126,1406,resultado_5
0.9118628335034291,0.8887105403959337,0.5308405241291146,0.6999578592498947,39251,208,2728,1661,LogClass,41979,1869,resultado_6
0.9983233992598226,0.9967897271268058,0.9967897271268058,0.9967897271268059,41973,6,6,1863,RF,41979,1869,resultado_6
0.8988387987466179,0.7998929909042268,0.8649117732137691,0.8246910856134156,41886,374,93,1495,MLP,41979,1869,resultado_6
0.8362760834670947,0.6725521669341894,0.8042226487523992,0.7196839574029543,41979,612,0,1257,SVM,41979,1869,resultado_6
0.9983710421288761,0.9967897271268058,0.9978575254418853,0.9972165721014883,41977,6,2,1863,XGB,41979,1869,resultado_6
0.9458649268206665,0.9626168224299065,0.7915465898174833,0.8860215053763442,10538,64,804,1648,LogClass,11342,1712,resultado_7
0.9972061805678012,0.9959112149532711,0.9930110658124636,0.9947491248541425,11325,7,17,1705,RF,11342,1712,resultado_7
0.8593336713101747,0.7225467289719626,0.8265953892415635,0.7608561938737852,11298,475,44,1237,MLP,11342,1712,resultado_7
0.7751168224299065,0.5502336448598131,0.7098718914845517,0.6046213093709885,11342,770,0,942,SVM,11342,1712,resultado_7
0.9991513842355846,0.9988317757009346,0.9976662777129521,0.9983652498832322,11336,2,6,1710,XGB,11342,1712,resultado_7
0.9504903363436297,0.9655688622754491,0.7839562443026437,0.8836826962597616,9631,46,665,1290,LogClass,10296,1336,resultado_8
0.9946834187103648,0.9910179640718563,0.9891669779604034,0.9902767389678385,10279,12,17,1324,RF,10296,1336,resultado_8
0.9011121114414528,0.8068862275449101,0.875710804224208,0.8330757341576506,10248,258,48,1078,MLP,10296,1336,resultado_8
0.7960329341317365,0.5920658682634731,0.7437705688763517,0.6446617766911165,10296,545,0,791,SVM,10296,1336,resultado_8
0.9982459323776689,0.9977544910179641,0.9940343027591351,0.9962630792227204,10283,3,13,1333,XGB,10296,1336,resultado_8
0.9406010771540969,0.9489153254023793,0.771770062606716,0.869119343673888,10037,73,729,1356,LogClass,10766,1429,resultado_9
0.9961791046561195,0.9944016794961511,0.9895543175487466,0.9924570470736137,10744,8,22,1421,RF,10766,1429,resultado_9
0.8869933623294025,0.7781665500349895,0.8600154679040989,0.808962607303943,10721,317,45,1112,MLP,10766,1429,resultado_9
0.7830650804758572,0.5661301609517145,0.7229669347631815,0.6199233716475097,10766,620,0,809,SVM,10766,1429,resultado_9
0.9981824373364194,0.9972008397480756,0.9954593084177437,0.9965034965034965,10757,4,9,1425,XGB,10766,1429,resultado_9
